epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.782,0.92086,2.23648,1.10344,0.73082,0.41962,0.5077,0.37219,0.86285,1.22865,1.02428,0.000297589,0.000297589,0.000297589
2,288.084,0.96246,1.23007,1.0947,0.64502,0.41325,0.46031,0.3308,0.95345,1.63282,1.09096,0.000597616,0.000597616,0.000597616
3,425.509,0.97576,1.14508,1.09561,0.62027,0.39708,0.4376,0.30577,1.07282,1.90029,1.17601,0.000894644,0.000894644,0.000894644
4,562.436,0.99573,1.11549,1.09975,0.64882,0.43289,0.49497,0.34262,1.04191,1.376,1.10838,0.000895501,0.000895501,0.000895501
5,698.024,0.99764,1.07591,1.10372,0.63554,0.51986,0.53754,0.36697,0.9577,1.47312,1.07339,0.000891002,0.000891002,0.000891002
6,838.558,0.95418,0.99324,1.08464,0.71352,0.49778,0.55988,0.39187,0.94553,1.24168,1.04349,0.000886502,0.000886502,0.000886502
7,978.288,0.93789,0.96072,1.0729,0.79822,0.53347,0.62721,0.45395,0.90275,1.01058,1.03108,0.000882003,0.000882003,0.000882003
8,1118.66,0.90454,0.91004,1.05364,0.7891,0.55016,0.63451,0.4501,0.85348,1.02145,0.99089,0.000877503,0.000877503,0.000877503
9,1259.25,0.87626,0.87022,1.03636,0.72157,0.56511,0.61938,0.44462,0.88433,0.96817,1.00147,0.000873004,0.000873004,0.000873004
10,1399.47,0.85269,0.85528,1.03771,0.84781,0.57611,0.66258,0.49053,0.80151,0.85598,0.96596,0.000868504,0.000868504,0.000868504
11,1543.55,0.85081,0.84589,1.02505,0.76273,0.56115,0.63198,0.47155,0.78967,0.9561,0.9724,0.000864004,0.000864004,0.000864004
12,1687.73,0.83202,0.8141,1.01793,0.81526,0.59187,0.67361,0.48844,0.83985,0.8265,0.98007,0.000859505,0.000859505,0.000859505
13,1830.97,0.83521,0.7939,1.01251,0.85413,0.58192,0.67445,0.49909,0.78583,0.78696,0.95915,0.000855005,0.000855005,0.000855005
14,1972.54,0.80647,0.76614,0.99934,0.86387,0.63802,0.70982,0.53406,0.74232,0.71139,0.93869,0.000850506,0.000850506,0.000850506
15,2113.62,0.79393,0.73764,0.99846,0.79719,0.62432,0.69328,0.52545,0.7412,0.70515,0.92424,0.000846006,0.000846006,0.000846006
16,2255.32,0.8165,0.75865,1.01013,0.8104,0.63973,0.70224,0.53097,0.75221,0.70667,0.94893,0.000841507,0.000841507,0.000841507
17,2394.63,0.78622,0.73894,1.00149,0.91672,0.62232,0.7254,0.54942,0.74988,0.70238,0.93983,0.000837007,0.000837007,0.000837007
18,2536.39,0.7624,0.71697,0.98059,0.82092,0.63411,0.69632,0.5332,0.72535,0.73908,0.93483,0.000832508,0.000832508,0.000832508
19,2677.88,0.76879,0.71429,0.99022,0.8848,0.60454,0.7163,0.54604,0.72237,0.67527,0.93062,0.000828008,0.000828008,0.000828008
20,2819.59,0.7478,0.68326,0.97693,0.8022,0.64861,0.70241,0.53738,0.71127,0.68271,0.93434,0.000823509,0.000823509,0.000823509
21,2960.97,0.75264,0.69237,0.97812,0.88988,0.59232,0.70131,0.53843,0.72136,0.6809,0.93235,0.000819009,0.000819009,0.000819009
22,3103.25,0.75278,0.68431,0.98388,0.8383,0.63964,0.70675,0.54114,0.70507,0.71371,0.93976,0.000814509,0.000814509,0.000814509
23,3243.8,0.73097,0.66288,0.97206,0.83999,0.58529,0.69705,0.53611,0.70309,0.68176,0.9275,0.00081001,0.00081001,0.00081001
24,3385.03,0.73994,0.66852,0.97818,0.88884,0.63289,0.72245,0.5553,0.69954,0.61959,0.92959,0.00080551,0.00080551,0.00080551
25,3526.18,0.72333,0.65906,0.96195,0.83396,0.66543,0.71604,0.56369,0.66975,0.63138,0.90311,0.000801011,0.000801011,0.000801011
26,3669.66,0.7222,0.65103,0.96538,0.83464,0.65636,0.72028,0.55944,0.67895,0.66817,0.90099,0.000796511,0.000796511,0.000796511
